Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2019,"Carlos Correa","HOU",321,21,59,0.278571428,0.567857142,"Carlos Correa",14162,621043
2015,"Josh Donaldson","TOR",711,41,123,0.296774193,0.567741935,"Josh Donaldson",5038,518626
2020,"Mike Yastrzemski","SFG",225,10,35,0.296875,0.567708333,"Mike Yastrzemski",14854,573262
2021,"Luis Robert Jr.","CHW",296,13,43,0.338181818,0.567272727,"Luis Robert Jr.",20043,673357
2016,"Trevor Story","COL",415,27,72,0.271505376,0.567204301,"Trevor Story",12564,596115
2018,"Trevor Story","COL",656,37,108,0.290969899,0.566889632,"Trevor Story",12564,596115
2016,"Trea Turner","WSN",324,13,40,0.342019543,0.566775244,"Trea Turner",16252,607208
2023,"Freddie Freeman","LAD",730,29,102,0.331240188,0.566718995,"Freddie Freeman",5361,518692
2020,"AJ Pollock","LAD",210,16,34,0.275510204,0.56632653,"AJ Pollock",9256,572041
2015,"Nelson Cruz","SEA",655,44,93,0.301694915,0.566101694,"Nelson Cruz",2434,443558
2019,"Corey Dickerson","- - -",279,12,59,0.303846153,0.565384615,"Corey Dickerson",10762,572816
2018,"Shohei Ohtani","LAA",367,22,61,0.285276073,0.564417177,"Shohei Ohtani",19755,660271
2022,"Joey Meneses","WSN",240,13,34,0.324324324,0.563063063,"Joey Meneses",14366,608841
2016,"Miguel Cabrera","DET",679,38,108,0.315966386,0.56302521,"Miguel Cabrera",1744,408234
2017,"Paul Goldschmidt","ARI",665,36,120,0.297491039,0.562724014,"Paul Goldschmidt",9218,502671
2021,"Joey Votto","CIN",533,36,99,0.265625,0.5625,"Joey Votto",4314,458015
2015,"Chris Davis","BAL",670,47,117,0.261780104,0.561954624,"Chris Davis",9272,448801
2020,"Mookie Betts","LAD",246,16,39,0.292237442,0.561643835,"Mookie Betts",13611,605141
2018,"Nolan Arenado","COL",673,38,110,0.296610169,0.561016949,"Nolan Arenado",9777,571448
2021,"Tyler O'Neill","STL",537,34,80,0.286307053,0.560165975,"Tyler O'Neill",15711,641933
2017,"Josh Donaldson","TOR",496,33,78,0.269879518,0.559036144,"Josh Donaldson",5038,518626
2020,"Eloy Jiménez","CHW",226,14,41,0.295774647,0.558685446,"Eloy Jimenez",17484,650391
2021,"Mike Zunino","TBR",375,33,62,0.216216216,0.558558558,"Mike Zunino",13265,572287
2019,"Austin Meadows","TBR",591,33,89,0.290566037,0.558490566,"Austin Meadows",15672,640457
2023,"Marcell Ozuna","ATL",592,40,100,0.273584905,0.558490566,"Marcell Ozuna",10324,542303
2021,"Kyle Tucker","HOU",567,30,92,0.294466403,0.557312252,"Kyle Tucker",18345,663656
2015,"Edwin Encarnación","TOR",624,39,111,0.276515151,0.556818181,"Edwin Encarnacion",2151,429665
2019,"J.D. Martinez","BOS",657,36,105,0.304347826,0.556521739,"J.D. Martinez",6184,502110
2021,"Jesse Winker","CIN",485,24,71,0.304964539,0.555555555,"Jesse Winker",13590,608385
2019,"Xander Bogaerts","BOS",698,33,117,0.309446254,0.555374592,"Xander Bogaerts",12161,593428
2021,"George Springer","TOR",342,22,50,0.264214046,0.555183946,"George Springer",12856,543807
2016,"Nelson Cruz","SEA",667,43,105,0.286926994,0.555178268,"Nelson Cruz",2434,443558
2017,"Michael Conforto","NYM",440,27,68,0.278820375,0.554959785,"Michael Conforto",16376,624424
2019,"Rafael Devers","BOS",702,32,115,0.310664605,0.554868624,"Rafael Devers",17350,646240
2018,"Javier Báez","CHC",645,34,111,0.290429042,0.554455445,"Javier Baez",12979,595879
2019,"Trevor Story","COL",656,35,85,0.294217687,0.554421768,"Trevor Story",12564,596115
2020,"Brandon Lowe","TBR",224,14,37,0.269430051,0.554404145,"Brandon Lowe",18882,664040
2016,"Kris Bryant","CHC",699,39,102,0.291873963,0.55389718,"Kris Bryant",15429,592178
2021,"Kyle Schwarber","- - -",471,32,71,0.26566416,0.553884711,"Kyle Schwarber",16478,656941
2015,"David Ortiz","BOS",614,37,108,0.272727272,0.553030303,"David Ortiz",745,120074
2019,"Hunter Pence","TEX",316,18,59,0.297202797,0.552447552,"Hunter Pence",8252,452254
2017,"José Abreu","CHW",675,33,102,0.304347826,0.552334943,"Jose Abreu",15676,547989
2018,"Ronald Acuña Jr.","ATL",487,26,64,0.29330254,0.551963048,"Ronald Acuna Jr.",18401,660670
2016,"Charlie Blackmon","COL",641,29,82,0.323529411,0.551903114,"Charlie Blackmon",7859,453568
2018,"José Ramírez","CLE",698,39,105,0.269896193,0.551903114,"Jose Ramirez",13510,608070
2019,"Jordan Luplow","CLE",261,15,38,0.275555555,0.551111111,"Jordan Luplow",16424,656669
2022,"Albert Pujols","STL",351,24,68,0.270358306,0.550488599,"Albert Pujols",1177,405395
2016,"Joey Votto","CIN",677,29,97,0.325539568,0.550359712,"Joey Votto",4314,458015
2016,"Mike Trout","LAA",681,29,100,0.315118397,0.550091074,"Mike Trout",10155,545361
2019,"Jose Altuve","HOU",548,31,74,0.298,0.55,"Jose Altuve",5417,514888
2017,"Carlos Correa","HOU",481,24,84,0.315165876,0.549763033,"Carlos Correa",14162,621043
2019,"Freddie Freeman","ATL",692,38,121,0.29480737,0.549413735,"Freddie Freeman",5361,518692
2016,"Josh Donaldson","TOR",700,37,99,0.284228769,0.549393414,"Josh Donaldson",5038,518626
2018,"Khris Davis","OAK",654,48,123,0.246527777,0.548611111,"Khris Davis",9112,501981
2017,"Nelson Cruz","SEA",645,39,119,0.287769784,0.548561151,"Nelson Cruz",2434,443558
2015,"Mark Teixeira","NYY",462,31,79,0.25510204,0.548469387,"Mark Teixeira",1281,407893
2023,"Royce Lewis","MIN",239,15,52,0.30875576,0.548387096,"Royce Lewis",20437,668904
2017,"Marcell Ozuna","MIA",679,37,124,0.311582381,0.54812398,"Marcell Ozuna",10324,542303
2015,"Randal Grichuk","STL",350,17,47,0.275541795,0.547987616,"Randal Grichuk",10243,545341
2019,"Juan Soto","WSN",659,34,110,0.282287822,0.547970479,"Juan Soto",20123,665742
2017,"Zack Cozart","CIN",507,24,63,0.296803652,0.547945205,"Zack Cozart",2616,446359
2019,"Yoán Moncada","CHW",559,25,79,0.315068493,0.547945205,"Yoan Moncada",17232,660162
2017,"Jose Altuve","HOU",662,24,81,0.345762711,0.547457627,"Jose Altuve",5417,514888
2016,"Brian Dozier","MIN",691,42,99,0.268292682,0.546341463,"Brian Dozier",9810,572821
2019,"Matt Olson","OAK",547,36,91,0.267080745,0.544513457,"Matt Olson",14344,621566
2016,"Anthony Rizzo","CHC",676,32,109,0.291595197,0.543739279,"Anthony Rizzo",3473,519203
2021,"Aaron Judge","NYY",633,39,98,0.287272727,0.543636363,"Aaron Judge",15640,592450
2021,"Salvador Perez","KCR",665,48,121,0.272580645,0.543548387,"Salvador Perez",7304,521692
2015,"Ryan Raburn","CLE",201,8,29,0.300578034,0.543352601,"Ryan Raburn",2218,430605
2017,"Daniel Murphy","WSN",593,23,93,0.322097378,0.543071161,"Daniel Murphy",4316,502517
2023,"Nolan Jones","COL",424,20,62,0.297002724,0.542234332,"Nolan Jones",20529,666134
2023,"Luis Robert Jr.","CHW",595,38,80,0.263736263,0.542124542,"Luis Robert Jr.",20043,673357
2020,"Bryce Harper","PHI",244,13,33,0.268421052,0.542105263,"Bryce Harper",11579,547180
2015,"Yoenis Cespedes","- - -",676,35,105,0.290679304,0.541864139,"Yoenis Cespedes",13110,493316
2019,"Lourdes Gurriel Jr.","TOR",343,20,50,0.277070063,0.541401273,"Lourdes Gurriel Jr.",19238,666971
2015,"Joey Votto","CIN",695,29,80,0.313761467,0.541284403,"Joey Votto",4314,458015
2019,"Yuli Gurriel","HOU",612,31,104,0.29787234,0.540780141,"Yuli Gurriel",19198,493329
2017,"Justin Upton","- - -",635,35,109,0.272890484,0.540394973,"Justin Upton",5222,457708
2021,"Matt Olson","OAK",673,39,111,0.27079646,0.539823008,"Matt Olson",14344,621566
2015,"Carlos González","COL",608,40,97,0.270758122,0.539711191,"Carlos Gonzalez",7287,471865
2019,"Aaron Judge","NYY",447,27,55,0.272486772,0.539682539,"Aaron Judge",15640,592450
2020,"George Springer","HOU",222,14,32,0.264550264,0.539682539,"George Springer",12856,543807
2017,"Yoenis Cespedes","NYM",321,17,42,0.292096219,0.5395189,"Yoenis Cespedes",13110,493316
2018,"Jesús Aguilar","MIL",566,35,108,0.274390243,0.538617886,"Jesus Aguilar",11342,542583
2021,"Marcus Semien","TOR",724,45,102,0.265337423,0.538343558,"Marcus Semien",12533,543760
2016,"Ryan Braun","MIL",564,30,91,0.305283757,0.538160469,"Ryan Braun",3410,460075
2021,"Rafael Devers","BOS",664,38,113,0.279187817,0.538071065,"Rafael Devers",17350,646240
2021,"José Ramírez","CLE",636,36,103,0.266304347,0.538043478,"Jose Ramirez",13510,608070
2023,"Yainer Diaz","HOU",377,23,60,0.28169014,0.538028169,"Yainer Diaz",23003,673237
2018,"Manny Machado","- - -",709,37,107,0.297468354,0.537974683,"Manny Machado",11493,592518
2019,"Joc Pederson","LAD",514,36,74,0.248888888,0.537777777,"Joc Pederson",11899,592626
2017,"Kris Bryant","CHC",665,29,73,0.295081967,0.537340619,"Kris Bryant",15429,592178
2017,"Joey Gallo","TEX",532,41,80,0.20935412,0.536748329,"Joey Gallo",14128,608336
2021,"AJ Pollock","LAD",422,21,69,0.296875,0.536458333,"AJ Pollock",9256,572041
2017,"Kurt Suzuki","ATL",309,19,50,0.282608695,0.536231884,"Kurt Suzuki",8259,435559
2021,"Trea Turner","- - -",646,28,77,0.327731092,0.536134453,"Trea Turner",16252,607208
2015,"José Bautista","TOR",666,40,114,0.250460405,0.535911602,"Jose Bautista",1887,430832
2017,"Justin Bour","MIA",429,25,83,0.289124668,0.535809018,"Justin Bour",9744,571506
2015,"Corey Dickerson","COL",234,10,31,0.303571428,0.535714285,"Corey Dickerson",10762,572816
2015,"J.D. Martinez","DET",657,38,102,0.281879194,0.535234899,"J.D. Martinez",6184,502110
2022,"Jazz Chisholm Jr.","MIA",241,14,45,0.253521126,0.535211267,"Jazz Chisholm Jr.",20454,665862
2018,"Anthony Rendon","WSN",597,24,92,0.308128544,0.534971644,"Anthony Rendon",12861,543685
2019,"Trey Mancini","BAL",679,35,97,0.290697674,0.53488372,"Trey Mancini",15149,641820
2019,"Gleyber Torres","NYY",604,38,90,0.278388278,0.534798534,"Gleyber Torres",16997,650402
2016,"J.D. Martinez","DET",517,22,68,0.306521739,0.534782608,"J.D. Martinez",6184,502110
2019,"Tom Murphy","SEA",281,18,40,0.273076923,0.534615384,"Tom Murphy",13499,608596
2016,"Mookie Betts","BOS",730,31,113,0.31845238,0.53422619,"Mookie Betts",13611,605141
2018,"David Dahl","COL",271,16,48,0.273092369,0.534136546,"David Dahl",13744,621311
2019,"Gio Urshela","NYY",476,21,74,0.314479638,0.533936651,"Gio Urshela",10681,570482
2021,"Juan Soto","WSN",654,29,95,0.312749003,0.533864541,"Juan Soto",20123,665742
2015,"Miguel Cabrera","DET",511,18,76,0.337995337,0.533799533,"Miguel Cabrera",1744,408234
2019,"Danny Santana","TEX",511,28,81,0.282700421,0.533755274,"Danny Santana",10322,542454
2020,"Lourdes Gurriel Jr.","TOR",224,11,33,0.307692307,0.533653846,"Lourdes Gurriel Jr.",19238,666971
2017,"Anthony Rendon","WSN",605,25,100,0.301181102,0.533464566,"Anthony Rendon",12861,543685
2016,"Mark Trumbo","BAL",667,47,108,0.256117455,0.533442088,"Mark Trumbo",6876,444432
2018,"Tyler White","HOU",237,12,42,0.276190476,0.533333333,"Tyler White",15564,643603
2019,"Willson Contreras","CHC",409,24,64,0.272222222,0.533333333,"Willson Contreras",11609,575929
2022,"Mookie Betts","LAD",639,35,82,0.269230769,0.533216783,"Mookie Betts",13611,605141
2022,"Nolan Arenado","STL",620,30,103,0.292639138,0.533213644,"Nolan Arenado",9777,571448
2022,"Jose Altuve","HOU",604,28,57,0.299810246,0.533206831,"Jose Altuve",5417,514888
2018,"Paul Goldschmidt","ARI",690,33,83,0.29005059,0.532883642,"Paul Goldschmidt",9218,502671
2016,"Robinson Canó","SEA",715,39,103,0.297709923,0.532824427,"Robinson Cano",3269,429664
2016,"Manny Machado","BAL",696,37,96,0.29375,0.5328125,"Manny Machado",11493,592518
2016,"Ryan Schimpf","SDP",330,20,51,0.217391304,0.532608695,"Ryan Schimpf",9953,572114
2017,"Paul DeJong","STL",443,25,65,0.285371702,0.5323741,"Paul DeJong",18015,657557
2017,"Adrián Beltré","TEX",389,17,71,0.311764705,0.532352941,"Adrian Beltre",639,134181
2021,"Ketel Marte","ARI",374,14,50,0.317647058,0.532352941,"Ketel Marte",13613,606466
2018,"Alex Bregman","HOU",705,31,103,0.286195286,0.531986531,"Alex Bregman",17678,608324
2020,"Adam Duvall","ATL",209,16,33,0.236842105,0.531578947,"Adam Duvall",10950,594807
2017,"Scooter Gennett","CIN",497,27,97,0.295010845,0.531453362,"Scooter Gennett",10339,571697
2019,"Jeff McNeil","NYM",567,23,75,0.317647058,0.531372549,"Jeff McNeil",15362,643446
2016,"Jose Altuve","HOU",717,24,96,0.3375,0.53125,"Jose Altuve",5417,514888
2023,"Adam Duvall","BOS",353,21,58,0.246875,0.53125,"Adam Duvall",10950,594807
2019,"Kyle Schwarber","CHC",610,38,92,0.24952741,0.531190926,"Kyle Schwarber",16478,656941
2022,"Manny Machado","SDP",644,32,102,0.297577854,0.531141868,"Manny Machado",11493,592518
2019,"Edwin Encarnación","- - -",486,34,86,0.244019138,0.531100478,"Edwin Encarnacion",2151,429665
2019,"Javier Báez","CHC",561,29,85,0.280602636,0.531073446,"Javier Baez",12979,595879
2017,"Gary Sánchez","NYY",525,33,90,0.278131634,0.530785562,"Gary Sanchez",11442,596142
2021,"Yordan Alvarez","HOU",598,33,104,0.277467411,0.530726256,"Yordan Alvarez",19556,670541
2021,"Austin Riley","ATL",662,33,107,0.30338983,0.530508474,"Austin Riley",18360,663586
